categorie,elasticite,r2,nb_ventes,prix_moyen,opportunite
Ordinateurs,0.018,0.0,199,1098.92,🟢 Opportunité
Téléphonie Fixe,0.001,0.0,255,216.92,🟢 Opportunité
Électroménager,-0.003,0.0,754,104.55,🟢 Opportunité
Instruments de Musique,-0.004,0.001,651,283.13,🟢 Opportunité
Ustensiles Ménagers,-0.004,0.034,6795,90.6,🟢 Opportunité
Valises & Accessoires,-0.005,0.027,1077,128.79,🟢 Opportunité
Alimentation,-0.007,0.0,499,57.58,🟢 Opportunité
Consoles & Jeux,-0.007,0.001,1089,135.91,🟢 Opportunité
Automobile,-0.011,0.027,4140,139.85,🟢 Opportunité
Montres & Cadeaux,-0.011,0.005,5859,199.04,🟢 Opportunité
Beauté & Santé,-0.011,0.034,9465,130.28,🟢 Opportunité
Électronique,-0.011,0.011,2729,56.81,🟢 Opportunité
Meubles & Décoration,-0.012,0.136,8160,87.25,🟢 Opportunité
Appareils Portables,-0.012,0.027,658,277.74,🟢 Opportunité
Sport & Loisirs,-0.013,0.025,8431,113.25,🟢 Opportunité
Outils Construction,-0.013,0.029,916,155.14,🟢 Opportunité
Construction & Sécurité,-0.013,0.003,183,211.88,🟢 Opportunité
Électroménager 2,-0.014,0.086,231,467.33,🟢 Opportunité
Articles de Noël,-0.015,0.003,150,58.25,🟢 Opportunité
Bébé,-0.015,0.082,2982,134.28,🟢 Opportunité
Informatique,-0.015,0.059,7644,116.26,🟢 Opportunité
Livres Techniques,-0.016,0.004,263,71.11,🟢 Opportunité
Agriculture & Commerce,-0.017,0.021,206,342.55,🟢 Opportunité
Mobilier Bureau,-0.018,0.002,1668,160.76,🟢 Opportunité
Parfumerie,-0.019,0.049,3340,116.81,🟢 Opportunité
Jouets,-0.019,0.042,4030,116.94,🟢 Opportunité
Outils Jardin,-0.019,0.041,232,108.17,🟢 Opportunité
Industrie & Commerce,-0.02,0.004,265,145.28,🟢 Opportunité
Literie & Salle de bain,-0.02,0.012,10953,93.44,🟢 Opportunité
Animalerie,-0.021,0.02,1924,110.03,🟢 Opportunité
Livres Général,-0.023,0.012,537,84.36,🟢 Opportunité
Mobilier Cuisine & Jardin,-0.024,0.025,274,166.18,🟢 Opportunité
Marketplace,-0.027,0.012,305,91.13,🟢 Opportunité
Signalisation & Sécurité,-0.027,0.054,197,108.2,🟢 Opportunité
Mobilier Chambre,-0.027,0.004,103,184.97,🟢 Opportunité
Arts,-0.03,0.005,197,120.09,🟢 Opportunité
Gadgets,-0.031,0.016,3718,164.12,🟢 Opportunité
Boissons,-0.032,0.01,361,59.64,🟢 Opportunité
Mode & Accessoires,-0.032,0.043,1985,75.23,🟢 Opportunité
Papeterie,-0.041,0.02,2466,90.75,🟢 Opportunité
Climatisation,-0.042,0.053,289,184.51,🟢 Opportunité
Construction Maison,-0.043,0.017,596,136.59,🟢 Opportunité
Alimentation & Boissons,-0.057,0.104,269,55.55,🟡 Prudence
Audio,-0.061,0.013,362,139.7,🟡 Prudence
Téléphonie,-0.061,0.086,4430,69.95,🟡 Prudence
Éclairage Construction,-0.069,0.078,301,132.75,🟡 Prudence
Mode Homme,-0.072,0.047,125,83.62,🟡 Prudence
Mobilier Salon,-0.096,0.15,495,136.06,🟡 Prudence
Confort Maison,-0.109,0.046,429,135.22,🔴 Risque
Outils & Jardin,-0.122,0.101,4268,110.24,🔴 Risque
Lingerie & Maillots,-0.122,0.074,127,73.28,🔴 Risque
Chaussures,-0.159,0.02,257,89.5,🔴 Risque
Outils & Bricolage,-0.172,0.209,103,154.41,🔴 Risque
